ID,CultLand,CropTillageDepth,Residue_length,Block,Harv_method,Residue_perc,Seedlings,Districts,LandPreparationMethods
ID_GTFAC7PEVWQ9,45,5,30,6,1,40,9.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_TK40ARLSPOKS,26,5,24,7,0,10,5.2,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_1FJY2CRIMLZZ,10,6,30,2,0,10,1.6666666666666667,desert,TractorPlough FourWheelTracRotavator
ID_I3IPXS4DB7NE,15,6,26,2,0,10,2.5,desert,TractorPlough FourWheelTracRotavator
ID_4T8YQWXWHB4A,60,4,24,6,1,40,15.0,semi-desert,TractorPlough WetTillagePuddling
ID_W5MM9H353RL9,10,6,30,1,0,10,1.6666666666666667,semi-desert,TractorPlough
ID_6O44Z25H1JAV,12,3,25,4,0,10,4.0,lush,TractorPlough
ID_VRI9LEL2W3DR,80,4,25,7,1,40,20.0,semi-desert,FourWheelTracRotavator
ID_6YA9Y09O55LE,25,4,26,4,0,10,6.25,lush,TractorPlough
ID_EDA8RK1CP60K,20,5,22,6,0,10,4.0,semi-desert,WetTillagePuddling
ID_92OQSAHCN51N,25,4,22,4,0,10,6.25,lush,TractorPlough
ID_LPERFIRDG4R1,30,4,26,6,0,10,7.5,semi-desert,TractorPlough
ID_7GO8WWV6X2G1,50,4,25,6,1,40,12.5,semi-desert,TractorPlough
ID_SJYVZSXJCX8S,29,4,29,3,0,10,7.25,lush,TractorPlough BullockPlough
ID_O99ZE30OJQ0E,10,4,29,3,0,10,2.5,lush,TractorPlough BullockPlough
ID_Z6B7YYFTNM37,23,2,25,7,1,40,11.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_K1DJXUHJ0N41,10,5,27,2,0,10,2.0,desert,TractorPlough FourWheelTracRotavator
ID_NLYRDS71BFQ5,20,6,30,1,0,10,3.3333333333333335,semi-desert,FourWheelTracRotavator
ID_QI1Y04PL4BL4,10,6,30,1,0,10,1.6666666666666667,semi-desert,TractorPlough
ID_M15DEOHHIANN,40,6,25,7,0,10,6.666666666666667,semi-desert,TractorPlough FourWheelTracRotavator
ID_AL1AO5QK2GB8,50,6,25,7,0,10,8.333333333333334,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_1YX1Q0KU8H4J,40,5,25,6,0,10,8.0,semi-desert,TractorPlough
ID_GO9NJB2IHGJ5,19,4,23,4,0,10,4.75,lush,TractorPlough
ID_XR4T47FT6ZYJ,5,5,30,5,0,10,1.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_U1V8335Z0GDF,13,5,30,5,0,10,2.6,semi-desert,TractorPlough FourWheelTracRotavator
ID_11OD12LPD8Q0,5,5,25,0,0,10,1.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_KJBLV8AG5QFK,20,4,30,5,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_W5DNZWLP1C38,9,4,26,3,0,10,2.25,lush,WetTillagePuddling TractorPlough BullockPlough
ID_4MSB04KR90HL,10,4,26,3,0,10,2.5,lush,WetTillagePuddling TractorPlough BullockPlough
ID_UH22TV86YDAR,20,5,30,2,0,10,4.0,desert,TractorPlough FourWheelTracRotavator
ID_XSWJJ8S2NXQG,20,3,28,4,0,10,6.666666666666667,lush,TractorPlough
ID_CFTN3K8U0YBR,17,6,30,1,0,10,2.8333333333333335,semi-desert,TractorPlough
ID_OP0YRV6RDXHQ,60,5,25,7,0,10,12.0,semi-desert,WetTillagePuddling TractorPlough
ID_NT3N95UN82Z0,5,5,22,0,0,10,1.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_UEE7BDOTOECZ,6,5,23,0,0,10,1.2,semi-desert,FourWheelTracRotavator
ID_IC8XYYV22B5N,12,5,28,4,0,10,2.4,lush,TractorPlough
ID_1SL350WD4WML,10,3,25,5,0,10,3.3333333333333335,semi-desert,FourWheelTracRotavator TractorPlough
ID_AAY8OCSQ30RL,80,5,26,6,0,10,16.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_LG4FMAMKA8QC,10,2,28,0,0,10,5.0,semi-desert,WetTillagePuddling TractorPlough
ID_ROEAK1IU05FX,20,3,26,3,0,10,6.666666666666667,lush,WetTillagePuddling TractorPlough BullockPlough
ID_QV8OS19KF7PM,25,4,26,4,0,10,6.25,lush,TractorPlough
ID_X4024AVMS14D,20,8,30,2,0,10,2.5,desert,TractorPlough FourWheelTracRotavator
ID_NCRC48NCTYR7,30,7,30,2,0,10,4.285714285714286,desert,TractorPlough FourWheelTracRotavator
ID_4BALZ38U7YNQ,60,5,25,8,0,10,12.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_TZ4XHBMD85BH,14,4,22,4,0,10,3.5,lush,TractorPlough
ID_H200IBZMESIA,18,3,25,4,0,10,6.0,lush,TractorPlough
ID_YC1BQ7WBALQ7,70,4,25,6,1,40,17.5,semi-desert,TractorPlough WetTillagePuddling
ID_DN6SUBRDQ31M,27,3,25,4,0,10,9.0,lush,TractorPlough
ID_SZDO7V317YY6,15,4,26,4,0,10,3.75,lush,TractorPlough
ID_6X8D5O16JB31,45,3,25,4,0,10,15.0,lush,TractorPlough
ID_PLKNTPV7XIME,20,7,30,2,0,10,2.857142857142857,desert,TractorPlough FourWheelTracRotavator
ID_XK3578NP10XA,40,5,24,7,0,10,8.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_E4CUT635Y06H,60,4,29,3,0,10,15.0,lush,TractorPlough BullockPlough
ID_IFB3D6F794K7,15,6,29,1,0,10,2.5,semi-desert,TractorPlough
ID_VI103PVTPRTC,20,4,26,3,0,10,5.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_4C1I1HOSZTIO,30,5,22,8,0,10,6.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_VW4CU9NM9K30,18,4,25,4,0,10,4.5,lush,TractorPlough
ID_LJ421X2JTWOV,40,4,25,6,1,40,10.0,semi-desert,TractorPlough
ID_2HMCHJSZJUZN,5,5,30,5,0,10,1.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_BLJYBOIT6Z3D,22,3,28,0,0,10,7.333333333333333,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_K35IJX5CZD6U,28,4,22,4,0,10,7.0,lush,TractorPlough
ID_ULJI4I0STG4I,9,4,29,3,0,10,2.25,lush,TractorPlough
ID_8VNFJE6U6XAA,10,4,27,3,0,10,2.5,lush,TractorPlough
ID_Q21JUB2VJP8H,10,4,30,5,0,10,2.5,semi-desert,FourWheelTracRotavator TractorPlough
ID_3DY4IYEII22E,20,7,30,2,0,10,2.857142857142857,desert,TractorPlough FourWheelTracRotavator
ID_5IA7BLLDO4B1,5,4,30,5,0,10,1.25,semi-desert,TractorPlough
ID_QPUJ81CTVIQY,35,5,20,8,0,10,7.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_EC1TQWXRXTK8,13,4,30,5,0,10,3.25,semi-desert,TractorPlough FourWheelTracRotavator
ID_Y04UYRXPTCVX,38,6,25,7,0,10,6.333333333333333,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_MGIBI3DN596R,60,8,22,7,0,10,7.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_3J1D2SQN0EHW,12,4,28,3,0,10,3.0,lush,TractorPlough
ID_KJWE2B6H5R3I,50,5,25,6,1,40,10.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_7NUM86LPAY7N,40,4,24,4,0,10,10.0,lush,TractorPlough
ID_6VAYTFTKGB40,20,4,30,5,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_E65JBTFMU1NR,21,4,23,4,0,10,5.25,lush,TractorPlough
ID_78P5YRV8XS3S,6,4,25,3,0,10,1.5,lush,TractorPlough
ID_GRREKUJLG8N5,30,4,26,3,0,10,7.5,lush,WetTillagePuddling TractorPlough BullockPlough
ID_ZD2B3CE5S5DV,9,3,30,5,0,10,3.0,semi-desert,WetTillagePuddling FourWheelTracRotavator BullockPlough TractorPlough
ID_Y9RGZZUIMEFB,7,4,30,5,0,10,1.75,semi-desert,TractorPlough FourWheelTracRotavator
ID_PLU73VOOTI7H,20,4,30,5,0,10,5.0,semi-desert,FourWheelTracRotavator TractorPlough
ID_9I5KUGUF2GGQ,15,4,30,5,0,10,3.75,semi-desert,TractorPlough FourWheelTracRotavator
ID_IMIR394QMM4D,20,4,27,0,0,10,5.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_8FVRXHVN3IYH,30,5,22,6,0,10,6.0,semi-desert,TractorPlough
ID_6TQRY8Y8VQMP,8,4,12,7,0,10,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_6XW0Y9ZXV0SL,60,3,28,4,0,10,20.0,lush,TractorPlough
ID_HZR2Z8Z9OWO3,20,6,30,1,0,10,3.3333333333333335,semi-desert,TractorPlough
ID_YQ9ATPPKD57S,10,4,30,5,0,10,2.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_TQABYBFD8UW1,28,3,28,4,0,10,9.333333333333334,lush,TractorPlough
ID_QQUA6Q9NRTQN,50,4,26,6,0,10,12.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_RQ2X90R8F30U,25,4,28,3,0,10,6.25,lush,WetTillagePuddling TractorPlough BullockPlough
ID_MZMN7Y2EGDND,20,4,30,8,0,10,5.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_GXWZDA7AC7HF,24,4,25,8,0,10,6.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_DH6TZES1URK2,60,4,26,6,0,10,15.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_O6HCIJ8WBBIL,12,4,27,3,0,10,3.0,lush,TractorPlough
ID_P44LR2LK3S6T,5,4,28,3,0,10,1.25,lush,TractorPlough
ID_LQ9IBBKL0VEF,28,4,22,4,0,10,7.0,lush,TractorPlough
ID_5YD6FBO5NOPR,18,6,28,1,0,10,3.0,semi-desert,FourWheelTracRotavator
ID_MP3P4B1I8SIO,40,4,24,6,0,10,10.0,semi-desert,TractorPlough
ID_ZRZL6LIVVI8P,24,4,25,8,0,10,6.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_DQUL63QWOKNO,60,5,25,7,0,10,12.0,semi-desert,WetTillagePuddling TractorPlough
ID_LHF42O34LNRF,25,6,30,2,0,10,4.166666666666667,desert,TractorPlough FourWheelTracRotavator
ID_ZXUCHDY8O1W1,65,6,24,7,0,10,10.833333333333334,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_O3KOCPTR83QD,20,4,30,8,0,10,5.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_R1142QPEI83X,26,4,23,4,0,10,6.5,lush,TractorPlough
ID_UI3DOBEP6WDC,40,4,30,3,0,10,10.0,lush,TractorPlough BullockPlough
ID_0S1V8WV0XQYA,35,5,28,6,0,10,7.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_6VW9ED51TTXA,5,3,29,3,0,10,1.6666666666666667,lush,WetTillagePuddling TractorPlough BullockPlough
ID_SPK8O250VJ6N,100,8,25,7,0,10,12.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_V6LF2R3IHYIH,10,4,26,3,0,10,2.5,lush,TractorPlough
ID_6SNCEIE9GIKJ,25,2,27,3,0,10,12.5,lush,WetTillagePuddling TractorPlough BullockPlough
ID_L4EV947Z63SM,19,5,30,5,0,10,3.8,semi-desert,WetTillagePuddling BullockPlough TractorPlough FourWheelTracRotavator
ID_MZMDUGG3KFXT,40,6,25,7,0,10,6.666666666666667,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_YQRX9V52P8HR,32,4,23,4,0,10,8.0,lush,TractorPlough
ID_KJ37EJ71T2NS,30,4,27,3,0,10,7.5,lush,WetTillagePuddling TractorPlough BullockPlough
ID_GP6TIYJAVR25,10,5,30,5,0,10,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_B4HH2O02KUYP,40,6,25,7,0,10,6.666666666666667,semi-desert,TractorPlough WetTillagePuddling FourWheelTracRotavator
ID_8TIE8RF7P9OE,10,4,30,5,0,10,2.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_GGPQ98GMVZ49,26,5,27,7,0,10,5.2,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_L52B0NMD67GV,30,4,30,8,0,10,7.5,desert,WetTillagePuddling FourWheelTracRotavator
ID_YZ7X5TAJZJ6S,20,8,25,2,0,10,2.5,desert,TractorPlough FourWheelTracRotavator
ID_C6WUYCGPLRYS,30,5,26,7,0,10,6.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_L5K5OLDQZNQW,48,2,29,7,1,40,24.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_ZPQ212D7B7QP,6,5,25,5,0,10,1.2,semi-desert,BullockPlough TractorPlough WetTillagePuddling FourWheelTracRotavator
ID_TAJ8COZZEVXS,5,4,30,5,0,10,1.25,semi-desert,TractorPlough FourWheelTracRotavator
ID_V58KWCUYDWZ4,20,4,26,3,0,10,5.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_A7LRVQCGZEIQ,21,4,25,4,0,10,5.25,lush,TractorPlough
ID_W9U5W7SAEQ6Z,2,3,30,5,0,10,0.6666666666666666,semi-desert,FourWheelTracRotavator TractorPlough
ID_J6686N6BX5L4,22,3,26,4,0,10,7.333333333333333,lush,TractorPlough
ID_U1HM5NKHMMIE,30,6,22,7,0,10,5.0,semi-desert,TractorPlough
ID_12GPUPNS8HZU,30,6,25,7,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_NOT1HA6034ZC,45,5,25,7,0,10,9.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_X6CATJS53FN6,8,4,30,5,0,10,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_3N7HUB5HYKXU,25,6,27,2,0,10,4.166666666666667,desert,TractorPlough FourWheelTracRotavator
ID_922I3R3844ZR,15,4,30,5,0,10,3.75,semi-desert,TractorPlough FourWheelTracRotavator
ID_DHYWNE3IMYEM,6,5,30,5,0,10,1.2,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_X627PZ645QAD,60,6,30,2,0,10,10.0,desert,TractorPlough FourWheelTracRotavator
ID_PM8CUVXQVJ6Z,11,4,29,3,0,10,2.75,lush,TractorPlough
